Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
bee-seat-fabric,Bee Seat Fabric,"<p>On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish.</p>
<p>Head out with your little one for a jog with the Strollik style, which features an adjustable canopy with a peek-a-boo window and covered sunroof for protection from the elements. The handy parent tray includes two cup holders, and the covered compartment above an extra-large storage basket allows you to carry essentials on your jog. You can connect your compatible car seat (not included) for a complete travel system, and the lightweight steel frame construction with a trigger-fold easily reduces the stroller to a compact unit for storage or travel.</p>
<p>In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.</p>",Ap Strollik,Extend,"L, M, model_extend",true,Title,Default Title,,,,,"",0,,1,deny,manual,39.99,,true,true,"",https://cdn.shopify.com/s/files/1/1175/4850/products/accessories06.jpeg?v=1456223790,,false,,,,,,,,,,,,,,,,,kg
bee-seat-fabric,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/accessories06_1.jpeg?v=1456223798,,,,,,,,,,,,,,,,,,,
stroller-cup-holder,Stroller cup holder,"<p>In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.</p>
<p>On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish.</p>
<p>Head out with your little one for a jog with the Strollik style, which features an adjustable canopy with a peek-a-boo window and covered sunroof for protection from the elements. The handy parent tray includes two cup holders, and the covered compartment above an extra-large storage basket allows you to carry essentials on your jog. You can connect your compatible car seat (not included) for a complete travel system, and the lightweight steel frame construction with a trigger-fold easily reduces the stroller to a compact unit for storage or travel.</p>
<meta charset=""utf-8"">
<p>[youtube width=""600"" height=""350"" video=""IqOfFdDlCMA""]</p>
<p> </p>
<p> </p>
<div id=""carousel-kxhx7"" class=""owl-carousel-play"" data-ride=""owlcarousel"">
<div class=""owl-carousel owl-theme"" data-slide=""1"" data-pagination=""false"" data-navigation=""false"" data-custompagin=""true"">
<div class=""owl-wrapper-outer autoHeight"">
<div class=""owl-wrapper"">
<div class=""owl-item"">
<div class=""item""></div>
</div>
</div>
</div>
</div>
</div>",Ap Strollik,Classic,"$100 - $200, Above $400, Black, Gray, M, model_classic",true,Title,Default Title,,,,,"",0,,1,deny,manual,29.00,,true,true,"",https://cdn.shopify.com/s/files/1/1175/4850/products/accessories02.jpeg?v=1456223705,,false,,,,,,,,,,,,,,,,,kg
stroller-cup-holder,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/accessories02_1.jpeg?v=1456223716,,,,,,,,,,,,,,,,,,,
donkey-duo-extension-set,Donkey Duo Extension Set,"<p>In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.</p>
<p>On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish.</p>
<p>Head out with your little one for a jog with the Strollik style, which features an adjustable canopy with a peek-a-boo window and covered sunroof for protection from the elements. The handy parent tray includes two cup holders, and the covered compartment above an extra-large storage basket allows you to carry essentials on your jog. You can connect your compatible car seat (not included) for a complete travel system, and the lightweight steel frame construction with a trigger-fold easily reduces the stroller to a compact unit for storage or travel.</p>",Ap Strollik,"","$50 - $100, Black, L, model_extend",true,Title,Default Title,,,,,"",0,,1,deny,manual,40.00,49.99,true,true,"",https://cdn.shopify.com/s/files/1/1175/4850/products/accessories04_06243cb3-65f4-4f9b-b867-45e6e99cabd4.jpeg?v=1456223611,,false,,,,,,,,,,,,,,,,,kg
donkey-duo-extension-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/accessories04_1.jpeg?v=1456223622,,,,,,,,,,,,,,,,,,,
comfort-wheeled-board,Comfort Wheeled Board,"<p>In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.</p>
<p>On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish.</p>
<p>Head out with your little one for a jog with the Strollik style, which features an adjustable canopy with a peek-a-boo window and covered sunroof for protection from the elements. The handy parent tray includes two cup holders, and the covered compartment above an extra-large storage basket allows you to carry essentials on your jog. You can connect your compatible car seat (not included) for a complete travel system, and the lightweight steel frame construction with a trigger-fold easily reduces the stroller to a compact unit for storage or travel.</p>",Ap Strollik,Special,"M, model_special, XL",true,Title,Default Title,,,,,"",0,,1,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/1175/4850/products/accessories03_3.jpeg?v=1456223288,,false,,,,,,,,,,,,,,,,,kg
comfort-wheeled-board,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/accessories03.jpeg?v=1456223299,,,,,,,,,,,,,,,,,,,
breezy-sun-canopy,Breezy Sun Canopy,"<p>In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.</p>
<p>On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish.</p>
<p>Head out with your little one for a jog with the Strollik style, which features an adjustable canopy with a peek-a-boo window and covered sunroof for protection from the elements. The handy parent tray includes two cup holders, and the covered compartment above an extra-large storage basket allows you to carry essentials on your jog. You can connect your compatible car seat (not included) for a complete travel system, and the lightweight steel frame construction with a trigger-fold easily reduces the stroller to a compact unit for storage or travel.</p>",Ap Strollik,Special,model_special,true,Title,Default Title,,,,,"",0,,1,deny,manual,39.99,,true,true,"",https://cdn.shopify.com/s/files/1/1175/4850/products/accessories01_1.jpeg?v=1456223196,,false,,,,,,,,,,,,,,,,,kg
breezy-sun-canopy,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/accessories01.jpeg?v=1456223196,,,,,,,,,,,,,,,,,,,
